sensor11|Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622423| 4829
sensor11|Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622423| 334
server  |Thu Mar 09 2017 21:50:26 GMT+0100 (CET)|1489092626450| Sensor11SendOk
server  |Thu Mar 09 2017 21:50:26 GMT+0100 (CET)|1489092626931| 2366|4829|334|323|11
sensor11|Thu Mar 09 2017 21:50:26 GMT+0100 (CET)|1489092626931| Sending data to server
sensor11|Thu Mar 09 2017 21:50:28 GMT+0100 (CET)|1489092628453| SendOk
sensor11|Thu Mar 09 2017 21:50:28 GMT+0100 (CET)|1489092628453| 
sensor11|Thu Mar 09 2017 21:50:42 GMT+0100 (CET)|1489092642755| wakeUp
server  |Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657068| Sensor11StartSending
server  |Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657070| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657077| got data from server
sensor11|Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657085| start-s11
sensor11|Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657085| got start command
sensor11|Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657090| reset BME280
sensor11|Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657100| got data from BME280
sensor11|Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657100| 2373
sensor11|Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657106| 4837
sensor11|Thu Mar 09 2017 21:50:57 GMT+0100 (CET)|1489092657106| 333
server  |Thu Mar 09 2017 21:51:01 GMT+0100 (CET)|1489092661144| Sensor11SendOk
server  |Thu Mar 09 2017 21:51:01 GMT+0100 (CET)|1489092661613| 2373|4837|333|323|11
sensor11|Thu Mar 09 2017 21:51:01 GMT+0100 (CET)|1489092661614| Sending data to server
